image_id,model,min_ssim_value,min_row,min_col,total_rows,total_cols,distance_to_boundary,normalized_distance,is_boundary
00001365_001,model1_TAA_standard,-0.0392,109,124,128,128,3,0.046875,True
00001366_000,model1_TAA_standard,0.0434,15,127,128,128,0,0.0,True
00001367_004,model1_TAA_standard,0.096,120,127,128,128,0,0.0,True
00001367_006,model1_TAA_standard,0.0713,0,62,128,128,0,0.0,True
00001371_002,model1_TAA_standard,0.0809,12,0,128,128,0,0.0,True
00001371_003,model1_TAA_standard,0.1041,50,127,128,128,0,0.0,True
00001371_004,model1_TAA_standard,0.1067,99,0,128,128,0,0.0,True
00001373_002,model1_TAA_standard,0.0251,116,127,128,128,0,0.0,True
00001373_022,model1_TAA_standard,0.1092,10,126,128,128,1,0.015625,True
00001373_028,model1_TAA_standard,0.0839,10,126,128,128,1,0.015625,True
00001373_029,model1_TAA_standard,0.1118,10,126,128,128,1,0.015625,True
00001373_041,model1_TAA_standard,-0.1498,17,9,128,128,9,0.140625,True
00001376_001,model1_TAA_standard,0.1058,127,8,128,128,0,0.0,True
00001376_003,model1_TAA_standard,0.1065,127,29,128,128,0,0.0,True
00001376_004,model1_TAA_standard,0.0937,127,100,128,128,0,0.0,True
00001378_004,model1_TAA_standard,-0.0252,114,127,128,128,0,0.0,True
00001381_000,model1_TAA_standard,0.0365,1,1,128,128,1,0.015625,True
00001381_001,model1_TAA_standard,0.0355,1,1,128,128,1,0.015625,True
00001381_010,model1_TAA_standard,0.083,1,1,128,128,1,0.015625,True
00001381_012,model1_TAA_standard,-0.2012,0,32,128,128,0,0.0,True
00001381_013,model1_TAA_standard,-0.1588,0,18,128,128,0,0.0,True
00001382_002,model1_TAA_standard,0.0914,27,127,128,128,0,0.0,True
00001384_001,model1_TAA_standard,0.0965,1,127,128,128,0,0.0,True
00001385_004,model1_TAA_standard,0.0529,127,124,128,128,0,0.0,True
00001385_009,model1_TAA_standard,0.1024,103,0,128,128,0,0.0,True
00001385_010,model1_TAA_standard,0.0638,127,0,128,128,0,0.0,True
00001385_016,model1_TAA_standard,0.0521,67,127,128,128,0,0.0,True
00001385_018,model1_TAA_standard,0.1086,0,1,128,128,0,0.0,True
00001389_001,model1_TAA_standard,0.0659,127,13,128,128,0,0.0,True
00001389_004,model1_TAA_standard,-0.0146,0,0,128,128,0,0.0,True
00001393_000,model1_TAA_standard,0.0997,71,127,128,128,0,0.0,True
00001394_000,model1_TAA_standard,-0.1854,0,27,128,128,0,0.0,True
00001395_003,model1_TAA_standard,0.0929,1,120,128,128,1,0.015625,True
00001395_008,model1_TAA_standard,0.1074,127,100,128,128,0,0.0,True
00001395_009,model1_TAA_standard,0.0845,34,127,128,128,0,0.0,True
00001395_011,model1_TAA_standard,-0.0138,123,0,128,128,0,0.0,True
00001395_013,model1_TAA_standard,0.0514,1,1,128,128,1,0.015625,True
00001397_002,model1_TAA_standard,0.0551,0,68,128,128,0,0.0,True
00001397_003,model1_TAA_standard,0.0836,26,0,128,128,0,0.0,True
00001397_010,model1_TAA_standard,0.0958,0,63,128,128,0,0.0,True
00001401_002,model1_TAA_standard,0.0307,1,8,128,128,1,0.015625,True
00001403_001,model1_TAA_standard,0.1026,127,125,128,128,0,0.0,True
00001403_003,model1_TAA_standard,-0.1874,0,30,128,128,0,0.0,True
00001404_007,model1_TAA_standard,0.0998,127,105,128,128,0,0.0,True
00001404_008,model1_TAA_standard,0.0814,0,115,128,128,0,0.0,True
00001406_001,model1_TAA_standard,0.0698,0,63,128,128,0,0.0,True
00001409_001,model1_TAA_standard,0.0457,1,126,128,128,1,0.015625,True
00001409_005,model1_TAA_standard,0.0885,0,58,128,128,0,0.0,True
00001409_007,model1_TAA_standard,0.0715,1,3,128,128,1,0.015625,True
00001409_011,model1_TAA_standard,-0.2571,0,10,128,128,0,0.0,True
00001410_002,model1_TAA_standard,-0.3055,1,109,128,128,1,0.015625,True
00001410_003,model1_TAA_standard,0.1025,0,62,128,128,0,0.0,True
00001410_004,model1_TAA_standard,0.0836,67,127,128,128,0,0.0,True
00001411_000,model1_TAA_standard,0.0142,103,127,128,128,0,0.0,True
00001413_001,model1_TAA_standard,0.0671,1,1,128,128,1,0.015625,True
00001415_000,model1_TAA_standard,0.0826,127,93,128,128,0,0.0,True
00001415_001,model1_TAA_standard,0.0474,29,127,128,128,0,0.0,True
00001415_002,model1_TAA_standard,-0.045,31,127,128,128,0,0.0,True
00001415_003,model1_TAA_standard,-0.2282,0,124,128,128,0,0.0,True
00001419_000,model1_TAA_standard,0.0863,52,0,128,128,0,0.0,True
00001421_000,model1_TAA_standard,0.1028,86,127,128,128,0,0.0,True
00001424_000,model1_TAA_standard,0.1032,22,127,128,128,0,0.0,True
00001426_000,model1_TAA_standard,0.1012,127,105,128,128,0,0.0,True
00001427_000,model1_TAA_standard,0.0229,127,81,128,128,0,0.0,True
00001429_005,model1_TAA_standard,0.0879,1,127,128,128,0,0.0,True
00001429_006,model1_TAA_standard,0.0455,1,127,128,128,0,0.0,True
00001433_003,model1_TAA_standard,0.0163,99,127,128,128,0,0.0,True
00001434_000,model1_TAA_standard,0.0115,1,126,128,128,1,0.015625,True
00001435_000,model1_TAA_standard,-0.0031,30,0,128,128,0,0.0,True
00001437_006,model1_TAA_standard,0.1031,127,58,128,128,0,0.0,True
00001437_014,model1_TAA_standard,0.1111,127,126,128,128,0,0.0,True
00001437_015,model1_TAA_standard,0.0138,1,126,128,128,1,0.015625,True
00001437_017,model1_TAA_standard,0.0256,1,126,128,128,1,0.015625,True
00001437_025,model1_TAA_standard,0.079,1,124,128,128,1,0.015625,True
00001437_045,model1_TAA_standard,-0.0019,0,126,128,128,0,0.0,True
00003923_014,model1_TAA_standard,0.0851,100,0,128,128,0,0.0,True
00003924_000,model1_TAA_standard,0.0905,25,127,128,128,0,0.0,True
00003924_001,model1_TAA_standard,0.112,0,68,128,128,0,0.0,True
00003925_000,model1_TAA_standard,0.0862,67,0,128,128,0,0.0,True
00003936_000,model1_TAA_standard,0.1081,1,1,128,128,1,0.015625,True
00003940_007,model1_TAA_standard,0.034,1,108,128,128,1,0.015625,True
00003942_001,model1_TAA_standard,0.0484,38,127,128,128,0,0.0,True
00003943_000,model1_TAA_standard,0.044,1,34,128,128,1,0.015625,True
00003946_000,model1_TAA_standard,0.0741,86,0,128,128,0,0.0,True
00003947_000,model1_TAA_standard,0.0742,18,127,128,128,0,0.0,True
00003947_001,model1_TAA_standard,0.0663,60,127,128,128,0,0.0,True
00003947_004,model1_TAA_standard,0.0676,2,126,128,128,1,0.015625,True
00003950_004,model1_TAA_standard,0.1061,35,0,128,128,0,0.0,True
00003951_000,model1_TAA_standard,0.074,80,127,128,128,0,0.0,True
00003952_000,model1_TAA_standard,0.0982,126,126,128,128,1,0.015625,True
00003953_001,model1_TAA_standard,-0.3667,0,10,128,128,0,0.0,True
00003954_001,model1_TAA_standard,0.0989,48,127,128,128,0,0.0,True
00003959_004,model1_TAA_standard,0.0773,127,1,128,128,0,0.0,True
00003968_000,model1_TAA_standard,0.0997,127,127,128,128,0,0.0,True
00003970_002,model1_TAA_standard,0.0496,49,127,128,128,0,0.0,True
00003973_001,model1_TAA_standard,0.0373,127,126,128,128,0,0.0,True
00003973_003,model1_TAA_standard,0.0828,127,18,128,128,0,0.0,True
00003973_007,model1_TAA_standard,0.0922,0,127,128,128,0,0.0,True
00003973_008,model1_TAA_standard,0.0619,1,127,128,128,0,0.0,True
00003973_010,model1_TAA_standard,-0.097,0,22,128,128,0,0.0,True
00003973_012,model1_TAA_standard,0.0326,1,95,128,128,1,0.015625,True
00003973_014,model1_TAA_standard,0.0414,1,126,128,128,1,0.015625,True
00003981_000,model1_TAA_standard,0.0951,0,62,128,128,0,0.0,True
00003981_001,model1_TAA_standard,0.068,0,62,128,128,0,0.0,True
00003981_002,model1_TAA_standard,0.1018,46,0,128,128,0,0.0,True
00003981_003,model1_TAA_standard,0.0998,127,16,128,128,0,0.0,True
00003981_010,model1_TAA_standard,-0.2351,0,7,128,128,0,0.0,True
00003981_013,model1_TAA_standard,-0.2803,0,19,128,128,0,0.0,True
00003981_015,model1_TAA_standard,0.0874,0,1,128,128,0,0.0,True
00003986_001,model1_TAA_standard,0.1137,126,127,128,128,0,0.0,True
00003989_008,model1_TAA_standard,0.1065,127,52,128,128,0,0.0,True
00003989_009,model1_TAA_standard,0.1071,50,0,128,128,0,0.0,True
00003989_012,model1_TAA_standard,0.0783,127,103,128,128,0,0.0,True
00003989_017,model1_TAA_standard,0.0442,0,66,128,128,0,0.0,True
00003989_020,model1_TAA_standard,0.1124,127,77,128,128,0,0.0,True
00003989_021,model1_TAA_standard,0.0825,1,43,128,128,1,0.015625,True
00003990_002,model1_TAA_standard,0.091,73,127,128,128,0,0.0,True
00003993_000,model1_TAA_standard,0.0809,50,127,128,128,0,0.0,True
00003996_002,model1_TAA_standard,0.0714,0,50,128,128,0,0.0,True
00003996_014,model1_TAA_standard,0.1129,0,65,128,128,0,0.0,True
00003996_015,model1_TAA_standard,0.087,120,127,128,128,0,0.0,True
00003997_001,model1_TAA_standard,0.0634,0,69,128,128,0,0.0,True
00004001_006,model1_TAA_standard,0.0619,0,99,128,128,0,0.0,True
00004001_010,model1_TAA_standard,0.0502,1,33,128,128,1,0.015625,True
00004001_011,model1_TAA_standard,0.0781,1,1,128,128,1,0.015625,True
00004001_013,model1_TAA_standard,-0.2036,0,36,128,128,0,0.0,True
00004006_007,model1_TAA_standard,0.0993,0,71,128,128,0,0.0,True
00004006_009,model1_TAA_standard,0.0636,2,1,128,128,1,0.015625,True
00004006_011,model1_TAA_standard,0.0796,127,42,128,128,0,0.0,True
00004006_012,model1_TAA_standard,0.0262,28,127,128,128,0,0.0,True
00004006_013,model1_TAA_standard,0.0982,127,100,128,128,0,0.0,True
00004006_020,model1_TAA_standard,0.1005,127,108,128,128,0,0.0,True
00004006_025,model1_TAA_standard,0.0427,0,0,128,128,0,0.0,True
00004006_028,model1_TAA_standard,0.0303,1,1,128,128,1,0.015625,True
00004006_029,model1_TAA_standard,0.0845,120,127,128,128,0,0.0,True
00004006_034,model1_TAA_standard,0.0508,1,3,128,128,1,0.015625,True
00004006_040,model1_TAA_standard,0.0554,127,103,128,128,0,0.0,True
00004006_058,model1_TAA_standard,0.0251,0,5,128,128,0,0.0,True
00004006_061,model1_TAA_standard,0.1058,2,126,128,128,1,0.015625,True
00004006_067,model1_TAA_standard,0.1028,1,127,128,128,0,0.0,True
00004006_071,model1_TAA_standard,0.0361,1,1,128,128,1,0.015625,True
00004006_076,model1_TAA_standard,-0.0571,0,98,128,128,0,0.0,True
00004007_002,model1_TAA_standard,0.0752,33,127,128,128,0,0.0,True
00004007_005,model1_TAA_standard,0.0132,14,127,128,128,0,0.0,True
00004007_015,model1_TAA_standard,0.1106,38,127,128,128,0,0.0,True
00004007_016,model1_TAA_standard,0.0857,1,2,128,128,1,0.015625,True
00004007_019,model1_TAA_standard,0.0162,0,24,128,128,0,0.0,True
00004007_020,model1_TAA_standard,0.0565,43,127,128,128,0,0.0,True
00004007_026,model1_TAA_standard,0.1115,127,112,128,128,0,0.0,True
