image_id,model,original_path,upscaled_path,original_width,original_height,original_format,upscaled_width,upscaled_height,upscaled_format,ssim,ms_ssim,psnr,lpips,sharpness,sharpness_diff_pct,contrast,contrast_diff_pct,entropy,noise,edge_density,edge_diff_pct,artifact_block,artifact_ringing,artifact_total,delta_e,high_freq_ratio,texture_complexity,local_quality_mean,local_quality_std,local_quality_min,histogram_corr,lab_L_mean,total_score,detection_count,detected_patterns,confidence_level
00001373_034,model1_TAA_standard,E:\Analysis\images_base\00001373_034.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001373_034_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9566,0.991,34.45,0.2138,2.92,-67.1,68.64,-0.8,7.772,2.42,0.78,-3.9,259.18,64.63,323.81,1.0,0.4148428331980049,3.874658737331629,0.9542,0.0417,0.3615,0.5054,134.44058895111084,57.0,1,単独:Low PSNR,Low
00001373_035,model1_TAA_standard,E:\Analysis\images_base\00001373_035.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001373_035_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9718,0.9926,35.33,0.188,1.41,-77.1,57.15,-1.5,7.593,1.96,0.38,-10.2,189.37,68.75,258.12,0.92,0.4392013445506269,3.0569523526355624,0.9677,0.0377,0.283,0.9913,129.10448932647705,53.9,0,None,Normal
00001373_036,model1_TAA_standard,E:\Analysis\images_base\00001373_036.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001373_036_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9633,0.9908,35.02,0.2163,1.96,-68.4,52.81,-1.6,7.627,2.24,0.64,6.5,223.11,55.06,278.17,0.99,0.4537020465487842,3.341712160035968,0.9595,0.0442,0.191,0.9834,140.92621994018555,53.8,0,None,Normal
00001373_037,model1_TAA_standard,E:\Analysis\images_base\00001373_037.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001373_037_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9684,0.9926,35.67,0.1627,1.45,-73.8,60.85,-0.9,7.685,2.06,0.37,-1.3,210.82,62.61,273.43,0.93,0.4280032545791157,3.1959510315209627,0.9645,0.0499,0.2798,0.8472,128.78172969818115,54.8,0,None,Normal
00001373_038,model1_TAA_standard,E:\Analysis\images_base\00001373_038.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001373_038_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9613,0.9906,32.91,0.2076,2.95,-76.0,50.86,-2.0,7.589,2.83,1.05,-8.5,294.15,58.06,352.21,1.11,0.4155037092745163,4.392033275216818,0.9549,0.0554,0.1663,0.9866,152.47021961212158,54.8,3,"P2:シャープ高×Noise高, 単独:Low PSNR, 単独:High Noise",Medium
00001373_039,model1_TAA_standard,E:\Analysis\images_base\00001373_039.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001373_039_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9522,0.9905,35.25,0.1984,2.01,-65.6,61.36,-0.6,7.603,2.25,0.67,16.7,228.65,56.88,285.53000000000003,0.99,0.449642381694639,3.228253573179245,0.9482,0.0709,0.2747,0.4187,134.30350399017334,54.8,0,None,Normal
00001373_040,model1_TAA_standard,E:\Analysis\images_base\00001373_040.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001373_040_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9572,0.9901,35.27,0.2455,1.36,-78.2,55.65,-1.6,7.672,1.92,0.37,-1.7,196.34,64.14,260.48,0.99,0.4244952871607829,3.1797218648716807,0.9537,0.0378,0.3932,0.9856,141.75975513458252,54.0,0,None,Normal
00001373_041,model1_TAA_standard,E:\Analysis\images_base\00001373_041.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001373_041_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9503,0.9907,35.27,0.1922,2.28,-66.7,67.75,-0.4,7.649,2.28,0.56,-3.8,230.66,72.81,303.47,0.99,0.4075876786134874,3.7098088581115007,0.9491,0.0602,-0.1498,0.387,134.08692932128906,56.4,1,単独:Low HistCorr,Low
00001373_042,model1_TAA_standard,E:\Analysis\images_base\00001373_042.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001373_042_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9587,0.9907,35.8,0.2395,1.31,-75.9,61.9,-1.2,7.73,1.9,0.32,-2.9,192.25,68.68,260.93,0.95,0.4268255223934663,3.004816537722945,0.9547,0.0424,0.2838,0.9076,130.24787139892578,54.8,0,None,Normal
00001373_043,model1_TAA_standard,E:\Analysis\images_base\00001373_043.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001373_043_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9566,0.9905,35.52,0.2388,1.23,-78.7,60.87,-1.1,7.668,1.87,0.3,-13.2,190.04,69.3,259.34,0.94,0.4209351430600851,2.928582178428769,0.9521,0.0524,0.2949,0.8447,135.5840950012207,54.4,0,None,Normal
00001373_044,model1_TAA_standard,E:\Analysis\images_base\00001373_044.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001373_044_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9581,0.9905,35.24,0.2598,1.31,-79.1,59.56,-1.3,7.722,1.86,0.36,-15.3,193.6,62.5,256.1,0.96,0.4136077624153896,3.2593397051095963,0.9541,0.0428,0.2188,0.9522,148.34167957305908,54.8,0,None,Normal
00001373_045,model1_TAA_standard,E:\Analysis\images_base\00001373_045.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001373_045_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9672,0.9921,35.43,0.182,1.38,-77.0,61.84,-1.3,7.741,2.05,0.35,-6.8,213.9,64.82,278.72,0.95,0.4219015007982596,3.302252464927733,0.9631,0.0428,0.2801,0.96,136.08409214019775,55.1,0,None,Normal
00001373_046,model1_TAA_standard,E:\Analysis\images_base\00001373_046.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001373_046_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9498,0.9894,35.28,0.253,1.39,-77.9,60.22,-1.1,7.685,2.02,0.37,-15.2,222.73,63.32,286.05,1.02,0.4158065700933184,3.478609314188361,0.9457,0.0465,0.2498,0.8779,136.72905349731445,55.1,0,None,Normal
00001373_047,model1_TAA_standard,E:\Analysis\images_base\00001373_047.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001373_047_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.966,0.9915,34.86,0.1778,1.79,-71.8,62.03,-1.1,7.712,2.32,0.52,28.5,246.33,58.82,305.15000000000003,0.98,0.4459460407134649,3.5486435936763883,0.9625,0.0413,0.3307,0.9687,138.7587823867798,55.4,1,単独:Low PSNR,Low
00001373_048,model1_TAA_standard,E:\Analysis\images_base\00001373_048.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001373_048_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9626,0.9914,35.35,0.1987,1.09,-80.6,61.91,-0.9,7.782,2.05,0.4,-6.2,225.55,57.89,283.44,0.98,0.3393360503366163,3.732879795134068,0.9592,0.0443,0.2559,0.9445,141.4818811416626,55.8,0,None,Normal
00001373_049,model1_TAA_standard,E:\Analysis\images_base\00001373_049.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001373_049_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9596,0.9906,34.25,0.208,3.21,-65.1,64.09,-0.7,7.826,2.7,0.87,-5.5,301.82,65.98,367.8,1.07,0.4061393346408734,4.344989899545908,0.9567,0.0411,0.2332,0.908,147.08355236053467,57.0,3,"P2:シャープ高×Noise高, 単独:Low PSNR, 単独:High Noise",Medium
00001373_050,model1_TAA_standard,E:\Analysis\images_base\00001373_050.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001373_050_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9579,0.9905,38.96,0.2488,0.93,-56.3,62.82,-0.9,7.787,1.88,0.25,-19.2,198.03,42.68,240.71,0.96,0.4305228108617408,3.1394209899008274,0.9539,0.0408,0.2763,0.9665,139.3073091506958,55.2,0,None,Normal
00001373_051,model1_TAA_standard,E:\Analysis\images_base\00001373_051.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001373_051_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9597,0.9905,34.66,0.192,1.79,-72.2,62.0,-0.5,7.794,2.43,0.59,6.9,279.57,54.1,333.67,1.07,0.4027033840751272,4.192159725353122,0.9573,0.041,0.2508,0.8916,146.22612285614014,56.4,1,単独:Low PSNR,Low
00001373_052,model1_TAA_standard,E:\Analysis\images_base\00001373_052.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001373_052_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9564,0.9905,33.74,0.1671,3.83,-58.0,63.97,-0.3,7.726,3.04,1.09,11.2,362.19,62.99,425.18,1.11,0.4363200271955474,4.74082225933671,0.9534,0.0553,0.1976,0.6895,144.38651371002197,57.3,5,"P2:シャープ高×Noise高, P4:Artifacts高, 単独:Low PSNR, 単独:High Noise, 単独:High Artifacts",High
00001373_053,model1_TAA_standard,E:\Analysis\images_base\00001373_053.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001373_053_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9646,0.9917,34.38,0.1579,2.18,-67.2,61.93,-0.1,7.745,2.56,0.79,7.3,278.33,54.52,332.85,1.07,0.4325494265842965,4.133539320901036,0.961,0.0518,0.2799,0.8781,147.98569297790527,56.3,2,"P2:シャープ高×Noise高, 単独:Low PSNR",Low
00001373_054,model1_TAA_standard,E:\Analysis\images_base\00001373_054.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001373_054_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9591,0.9909,33.84,0.1635,2.99,-59.3,68.92,0.6,7.798,2.72,0.77,-0.2,285.35,56.96,342.31,1.16,0.4424810552205673,4.080746853724122,0.955,0.0636,0.2031,0.5762,146.231595993042,57.3,4,"P2:シャープ高×Noise高, 単独:Low PSNR, 単独:High Noise, 単独:High DeltaE",Medium
00001373_055,model1_TAA_standard,E:\Analysis\images_base\00001373_055.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001373_055_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.954,0.989,33.83,0.2183,2.44,-63.7,67.75,-0.8,7.834,2.5,0.79,63.8,265.72,57.86,323.58000000000004,1.11,0.4519907876808276,3.817259492352605,0.9515,0.053,0.1198,0.9454,135.5135726928711,56.9,3,"P2:シャープ高×Noise高, 単独:Low MS-SSIM, 単独:Low PSNR",Medium
00001374_000,model1_TAA_standard,E:\Analysis\images_base\00001374_000.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001374_000_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9802,0.9936,41.91,0.1367,0.47,6.5,49.81,-1.6,7.166,1.86,0.13,42.5,205.44,57.05,262.49,0.87,0.3391925266162832,3.330170279368758,0.9793,0.013,0.6247,0.9765,161.36207962036133,52.4,0,None,Normal
00001375_000,model1_TAA_standard,E:\Analysis\images_base\00001375_000.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001375_000_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9558,0.9886,39.33,0.2418,1.35,-51.2,50.0,-1.3,7.241,1.96,0.57,4.3,274.11,75.39,349.5,0.99,0.282660706005471,4.007402239367366,0.9512,0.0392,0.2237,0.7699,146.09955215454102,53.4,2,"単独:Low MS-SSIM, 単独:Low HighFreq",Low
00001376_000,model1_TAA_standard,E:\Analysis\images_base\00001376_000.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001376_000_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.977,0.9939,37.73,0.1595,1.04,-68.2,49.46,-0.7,7.285,1.88,0.21,-56.0,196.36,53.73,250.09,0.89,0.3722432615228318,3.023265260271728,0.9649,0.0871,0.1647,0.992,132.9952449798584,52.2,0,None,Normal
00001376_001,model1_TAA_standard,E:\Analysis\images_base\00001376_001.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001376_001_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.982,0.9943,37.17,0.0938,0.89,-77.4,54.54,-1.3,7.185,2.01,0.24,-54.1,212.45,69.14,281.59,0.88,0.3093594138302609,3.801977187395096,0.9711,0.0877,0.1058,0.9875,165.91624069213867,53.8,0,None,Normal
00001376_002,model1_TAA_standard,E:\Analysis\images_base\00001376_002.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001376_002_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9811,0.9943,37.89,0.0879,1.14,-66.2,59.74,-0.9,7.351,2.11,0.42,-31.1,227.28,71.54,298.82,0.87,0.3044980998185113,4.451561830937862,0.974,0.0734,0.1583,0.9544,161.89194869995117,55.7,0,None,Normal
00001376_003,model1_TAA_standard,E:\Analysis\images_base\00001376_003.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001376_003_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9752,0.9931,36.55,0.108,1.21,-69.8,64.11,-0.7,7.585,2.26,0.45,-23.4,263.24,68.6,331.84000000000003,1.0,0.3179225195394823,4.6612797025591135,0.9674,0.0752,0.1065,0.7607,167.58702182769775,57.0,0,None,Normal
00001376_004,model1_TAA_standard,E:\Analysis\images_base\00001376_004.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001376_004_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9807,0.9929,35.34,0.1015,0.56,-86.8,60.29,0.0,7.502,2.0,0.2,-55.1,216.7,56.93,273.63,1.09,0.3058732405567887,3.8437331467866898,0.9682,0.0921,0.0937,0.7436,174.99738216400146,55.2,2,"P1:SSIM高×PSNR低, P6:品質ばらつき大",Low
00001376_005,model1_TAA_standard,E:\Analysis\images_base\00001376_005.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001376_005_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9405,0.9927,35.42,0.1375,1.1,-80.2,66.03,0.1,7.379,1.95,0.41,7.3,239.16,52.73,291.89,0.95,0.3380480985401894,4.072655187919736,0.9335,0.1141,0.1385,0.0776,108.29665851593018,56.2,3,"P6:品質ばらつき大, 単独:Low HistCorr, 単独:High LocalQualityStd",Medium
00001376_006,model1_TAA_standard,E:\Analysis\images_base\00001376_006.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001376_006_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9383,0.9908,37.12,0.1998,0.5,-50.2,75.17,0.4,7.673,2.31,0.19,234.5,295.83,44.87,340.7,1.08,0.3260038740013898,5.330408122390509,0.9364,0.0756,0.1853,0.2939,106.11024475097656,59.6,2,"P8:Contrast異常×Hist相関低, 単独:Low HistCorr",Low
00001376_007,model1_TAA_standard,E:\Analysis\images_base\00001376_007.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001376_007_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9375,0.9904,36.81,0.2173,0.76,-39.3,71.77,0.1,7.728,2.58,0.29,215.2,323.04,46.42,369.46,1.11,0.3438670761941589,5.563307600095868,0.9357,0.0703,0.3935,0.4778,105.80683135986328,59.4,1,P8:Contrast異常×Hist相関低,Low
00001376_008,model1_TAA_standard,E:\Analysis\images_base\00001376_008.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001376_008_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9794,0.9945,36.93,0.1051,0.83,-78.0,61.68,-0.9,7.61,2.18,0.27,-36.1,245.73,45.75,291.48,0.92,0.3503200012134832,4.198569506406784,0.9675,0.0863,0.1396,0.9531,150.9923610687256,56.1,0,None,Normal
00001376_009,model1_TAA_standard,E:\Analysis\images_base\00001376_009.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001376_009_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9671,0.9935,36.84,0.1221,1.19,-63.1,58.56,-0.2,7.655,2.34,0.43,-19.3,258.23,51.93,310.16,0.95,0.3700190572183205,4.221500325948,0.956,0.1028,0.1563,0.682,118.74782943725586,55.7,1,P6:品質ばらつき大,Low
00001376_010,model1_TAA_standard,E:\Analysis\images_base\00001376_010.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001376_010_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9674,0.9919,35.88,0.1545,1.37,-53.4,51.5,-0.4,7.491,2.44,0.53,41.3,271.4,47.72,319.12,0.98,0.4294330239563764,3.685028962790966,0.9561,0.0928,0.137,0.8994,117.55280780792236,53.7,1,P6:品質ばらつき大,Low
00001377_000,model1_TAA_standard,E:\Analysis\images_base\00001377_000.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001377_000_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9771,0.9934,38.35,0.1293,0.53,-78.7,53.19,-1.4,7.485,1.94,0.24,-44.3,208.17,64.09,272.26,0.92,0.3409682293232582,3.4553951723501086,0.9681,0.0734,0.1749,0.9271,136.66133213043213,53.6,0,None,Normal
00001377_001,model1_TAA_standard,E:\Analysis\images_base\00001377_001.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001377_001_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9757,0.9926,37.47,0.1217,1.3,-57.6,57.49,-0.8,7.547,2.44,0.57,-12.5,266.36,59.38,325.74,0.93,0.3788852245887371,3.8597115268930793,0.9646,0.083,0.1446,0.9585,136.87622833251953,54.9,0,None,Normal
00001377_002,model1_TAA_standard,E:\Analysis\images_base\00001377_002.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001377_002_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9793,0.9939,37.75,0.1212,0.88,-71.4,57.35,-1.4,7.34,1.98,0.23,-46.8,220.88,54.32,275.2,0.95,0.3380003747960096,3.533999416977167,0.9686,0.0804,0.148,0.9008,126.23895645141602,54.1,0,None,Normal
00001377_003,model1_TAA_standard,E:\Analysis\images_base\00001377_003.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001377_003_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9777,0.9929,41.67,0.1157,0.41,-37.9,54.56,-1.5,7.393,2.02,0.15,25.5,223.62,53.87,277.49,0.9,0.3355861546621771,3.655582442879677,0.976,0.0231,0.4649,0.9667,152.61902236938477,53.9,0,None,Normal
00001377_004,model1_TAA_standard,E:\Analysis\images_base\00001377_004.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001377_004_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9767,0.9924,42.1,0.1226,0.23,-36.4,44.66,-1.7,7.074,1.92,0.07,289.0,198.07,56.56,254.63,0.84,0.3234123059662748,3.232146226800978,0.9755,0.0145,0.7681,0.9944,166.80331897735596,51.4,3,"単独:Low Sharpness, 単独:Low Entropy, 単独:Low EdgeDensity",Medium
00001377_005,model1_TAA_standard,E:\Analysis\images_base\00001377_005.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001377_005_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9759,0.9924,41.25,0.1276,0.45,-38.0,45.83,-1.7,7.313,2.25,0.16,62.3,261.08,59.76,320.84,0.91,0.3469292823514096,3.9225796284154058,0.9739,0.0287,0.3657,0.9952,162.95217037200928,52.8,0,None,Normal
00001378_000,model1_TAA_standard,E:\Analysis\images_base\00001378_000.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001378_000_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9787,0.9938,37.3,0.1137,0.47,-86.7,56.77,-1.0,7.435,1.96,0.13,-71.8,202.23,54.49,256.72,0.9,0.3219066028668426,3.584260269999504,0.9653,0.0927,0.1258,0.9838,170.7233476638794,54.3,1,P6:品質ばらつき大,Low
00001378_001,model1_TAA_standard,E:\Analysis\images_base\00001378_001.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001378_001_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.978,0.9937,37.34,0.1076,0.79,-78.4,66.19,-1.0,7.525,2.13,0.26,-54.7,229.9,66.6,296.5,0.93,0.312814123599289,4.254848286509514,0.9675,0.0856,0.114,0.9365,161.9562931060791,56.6,0,None,Normal
00001378_002,model1_TAA_standard,E:\Analysis\images_base\00001378_002.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001378_002_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9001,0.9897,35.94,0.223,0.85,-42.5,76.97,0.7,7.34,2.24,0.34,95.5,268.28,55.47,323.75,1.11,0.3569666234682946,4.963793819770217,0.8988,0.1303,0.2395,0.1141,103.83790588378906,58.8,7,"P6:品質ばらつき大, P8:Contrast異常×Hist相関低, P9:MS-SSIM低×SSIM低, 単独:Low SSIM, 単独:Low LocalQuality, 単独:Low HistCorr, 単独:High LocalQualityStd",High
00001378_003,model1_TAA_standard,E:\Analysis\images_base\00001378_003.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001378_003_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9494,0.9909,35.92,0.2361,0.86,-38.5,68.67,0.1,7.696,2.45,0.43,83.3,264.67,74.56,339.23,1.11,0.3568998568600366,5.08239115588367,0.9468,0.0493,0.4256,0.7186,112.98846626281738,58.4,0,None,Normal
00001378_004,model1_TAA_standard,E:\Analysis\images_base\00001378_004.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001378_004_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9531,0.9903,34.74,0.2221,1.13,-25.4,70.48,0.2,7.78,2.64,0.54,26.3,279.44,69.82,349.26,1.2,0.3629679577038334,4.708938170224428,0.9478,0.0784,-0.0252,0.4528,123.6885986328125,58.3,2,"単独:Low PSNR, 単独:High DeltaE",Low
00001379_000,model1_TAA_standard,E:\Analysis\images_base\00001379_000.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001379_000_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9406,0.9901,38.33,0.2585,0.6,-61.6,65.62,-0.5,7.632,2.4,0.22,21.3,286.81,52.32,339.13,1.05,0.3522137907659549,4.66337576508522,0.9383,0.0521,0.1605,0.8793,117.74596881866456,57.2,0,None,Normal
00001380_000,model1_TAA_standard,E:\Analysis\images_base\00001380_000.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001380_000_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9613,0.9911,39.3,0.2047,0.34,-54.0,39.26,-0.3,6.651,1.92,0.11,181.4,182.52,52.14,234.66000000000005,0.95,0.3724822283379407,2.7542838687077165,0.9596,0.0344,0.4341,0.96,113.43362712860107,49.2,3,"単独:Low Sharpness, 単独:Low Contrast, 単独:Low Entropy",Medium
00001381_000,model1_TAA_standard,E:\Analysis\images_base\00001381_000.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001381_000_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9247,0.9901,37.16,0.2316,0.65,-49.0,67.69,0.4,7.706,2.4,0.31,22.0,309.99,54.74,364.73,1.14,0.3299474858359437,5.142977479845285,0.9213,0.1044,0.0365,0.3959,107.65734100341795,58.2,5,"P6:品質ばらつき大, 単独:Low SSIM, 単独:Low LocalQuality, 単独:Low HistCorr, 単独:High DeltaE",High
00001381_001,model1_TAA_standard,E:\Analysis\images_base\00001381_001.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001381_001_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9441,0.9903,37.91,0.2467,0.78,-54.1,64.26,-0.5,7.805,2.64,0.34,15.4,315.07,58.55,373.62,1.13,0.3346086873589948,5.117876976728439,0.9407,0.0651,0.0355,0.7892,115.46185207366943,57.9,1,単独:High DeltaE,Low
00001381_002,model1_TAA_standard,E:\Analysis\images_base\00001381_002.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001381_002_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9716,0.9926,35.33,0.1782,1.87,-73.6,46.03,-1.1,7.293,2.09,0.53,-27.6,216.45,62.87,279.32,1.0,0.4771891835263894,3.146353717893362,0.9621,0.0714,0.2012,0.9539,115.47653007507324,51.9,1,P7:Entropy低×高周波高,Low
00001381_003,model1_TAA_standard,E:\Analysis\images_base\00001381_003.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001381_003_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.97,0.9937,35.94,0.1764,0.97,-82.9,49.14,-0.8,7.266,1.65,0.27,-36.9,153.83,64.28,218.11,0.89,0.4154346801029475,2.646747739054262,0.9589,0.0839,0.2423,0.79,115.68538188934326,51.7,2,"P7:Entropy低×高周波高, 単独:Low Texture",Low
00001381_004,model1_TAA_standard,E:\Analysis\images_base\00001381_004.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001381_004_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9211,0.9883,36.14,0.2222,0.76,-42.2,66.37,0.6,7.568,2.56,0.3,39.5,287.43,51.93,339.36,1.19,0.3606020102686905,4.835296589881182,0.9201,0.0983,0.2754,0.2679,106.640212059021,57.4,7,"P6:品質ばらつき大, P9:MS-SSIM低×SSIM低, 単独:Low SSIM, 単独:Low MS-SSIM, 単独:Low LocalQuality, 単独:Low HistCorr, 単独:High DeltaE",High
00001381_005,model1_TAA_standard,E:\Analysis\images_base\00001381_005.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001381_005_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.976,0.9943,38.38,0.1618,1.2,-65.8,44.6,-1.0,7.22,1.83,0.33,-41.6,191.26,52.23,243.49,0.88,0.4220948852867059,3.1463119201362133,0.9665,0.0751,0.2051,0.8687,115.656418800354,51.6,1,P7:Entropy低×高周波高,Low
00001381_006,model1_TAA_standard,E:\Analysis\images_base\00001381_006.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00001381_006_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9627,0.9931,36.91,0.1452,1.79,-58.7,60.56,-0.4,7.385,2.13,0.44,-34.5,232.86,71.48,304.34000000000003,0.91,0.3987491169881959,3.5189783480018377,0.9524,0.0941,0.1772,0.5311,112.9973487854004,54.6,1,P6:品質ばらつき大,Low
