image_id,model,original_path,upscaled_path,original_width,original_height,original_format,upscaled_width,upscaled_height,upscaled_format,ssim,ms_ssim,psnr,lpips,sharpness,sharpness_diff_pct,contrast,contrast_diff_pct,entropy,noise,edge_density,edge_diff_pct,artifact_block,artifact_ringing,artifact_total,delta_e,high_freq_ratio,texture_complexity,local_quality_mean,local_quality_std,local_quality_min,histogram_corr,lab_L_mean,total_score,detection_count,detected_patterns,confidence_level
00024767_000,model1_TAA_standard,E:\Analysis\images_base\00024767_000.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00024767_000_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9806,0.9945,38.29,0.093,1.49,-60.4,70.56,-1.0,7.528,2.22,0.42,-23.4,258.41,66.92,325.33000000000004,0.94,0.3083132280936163,5.325264148414135,0.9743,0.0646,0.0924,0.9477,140.5237340927124,58.8,0,None,Normal
00024768_000,model1_TAA_standard,E:\Analysis\images_base\00024768_000.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00024768_000_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9318,0.9891,37.52,0.2881,0.39,-72.0,63.7,-0.2,7.72,2.38,0.22,95.2,291.24,50.39,341.63,1.14,0.313487580953291,5.312679223716259,0.9302,0.0573,0.2293,0.7463,121.93759059906006,58.0,5,"P9:MS-SSIM低×SSIM低, 単独:Low SSIM, 単独:Low MS-SSIM, 単独:High LPIPS, 単独:High DeltaE",High
00024769_000,model1_TAA_standard,E:\Analysis\images_base\00024769_000.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00024769_000_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9399,0.9893,36.15,0.2676,0.9,-53.9,65.07,-0.5,7.796,2.81,0.35,23.4,325.24,54.83,380.07,1.13,0.3543085050397261,5.703522451221943,0.938,0.0655,-0.0734,0.9194,125.96242141723631,58.8,5,"P4:Artifacts高, P9:MS-SSIM低×SSIM低, 単独:High Noise, 単独:High Artifacts, 単独:High DeltaE",High
00024770_000,model1_TAA_standard,E:\Analysis\images_base\00024770_000.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00024770_000_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9698,0.9931,37.29,0.1109,2.77,-49.8,76.97,-0.2,7.107,2.52,0.85,8.5,455.83,73.57,529.4,0.91,0.3834561215406866,6.000848896801472,0.9625,0.0604,0.0552,0.6443,145.97192859649658,59.5,4,"P2:シャープ高×Noise高, P4:Artifacts高, P8:Contrast異常×Hist相関低, 単独:High Artifacts",Medium
00024771_000,model1_TAA_standard,E:\Analysis\images_base\00024771_000.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00024771_000_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9317,0.9884,36.95,0.2995,0.72,-60.6,64.43,-0.4,7.789,2.62,0.36,36.0,318.58,56.27,374.85,1.16,0.3358660910748478,5.662391083315015,0.9302,0.0567,0.1125,0.6871,131.00841331481934,58.6,5,"P9:MS-SSIM低×SSIM低, 単独:Low SSIM, 単独:Low MS-SSIM, 単独:High LPIPS, 単独:High DeltaE",High
00024772_000,model1_TAA_standard,E:\Analysis\images_base\00024772_000.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00024772_000_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.967,0.9922,36.96,0.1597,1.65,-61.3,61.52,-1.3,7.574,2.53,0.41,-19.0,327.75,62.16,389.91,1.08,0.3850035123992028,5.384168587625027,0.9601,0.0597,0.1631,0.7305,134.64770412445068,57.4,3,"P2:シャープ高×Noise高, P4:Artifacts高, 単独:High Artifacts",Medium
00024773_000,model1_TAA_standard,E:\Analysis\images_base\00024773_000.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00024773_000_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9589,0.9911,36.77,0.1552,2.72,-39.6,72.6,-0.0,7.708,3.04,0.96,29.3,507.39,69.22,576.61,1.07,0.297579324542724,8.07533998042345,0.955,0.0479,0.5023,0.4906,154.66891860961914,62.7,6,"P2:シャープ高×Noise高, P4:Artifacts高, P8:Contrast異常×Hist相関低, 単独:Low HighFreq, 単独:High Noise, 単独:High Artifacts",High
00024774_000,model1_TAA_standard,E:\Analysis\images_base\00024774_000.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00024774_000_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9391,0.9901,34.25,0.2325,1.0,-24.1,68.18,0.3,7.696,2.67,0.4,24.1,336.68,60.48,397.16,1.22,0.3158451159438152,6.231028670445085,0.9352,0.0804,-0.0511,0.6811,107.44646167755128,59.8,4,"P4:Artifacts高, 単独:Low PSNR, 単独:High Artifacts, 単独:High DeltaE",Medium
00024775_000,model1_TAA_standard,E:\Analysis\images_base\00024775_000.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00024775_000_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9244,0.9869,37.65,0.3398,0.72,-72.2,62.77,-0.6,7.77,2.45,0.14,-29.9,323.81,51.46,375.27,1.17,0.3152781746581617,5.608218815177679,0.9219,0.0632,0.0138,0.8565,127.0316743850708,58.2,6,"P9:MS-SSIM低×SSIM低, 単独:Low SSIM, 単独:Low MS-SSIM, 単独:Low LocalQuality, 単独:High LPIPS, 単独:High DeltaE",High
00024776_000,model1_TAA_standard,E:\Analysis\images_base\00024776_000.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00024776_000_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9331,0.9897,35.45,0.2688,0.9,-52.0,67.33,-0.1,7.729,2.59,0.34,7.3,307.76,54.77,362.53,1.11,0.3502808116887312,5.574425328522921,0.9304,0.0688,-0.0758,0.5504,113.55941009521484,58.9,1,P9:MS-SSIM低×SSIM低,Low
